"group_key","anchor","tables","k","items_total","items_min","n_min","n_max","same_n","cells_est","eligible","score"
"doi:10.1371/journal.pone.0338728","muir_2025_resilience_behaviours","muir_2025_resilience_behaviours|muir_2025_resilience_opinions",2,15,7,70,70,TRUE,1050,FALSE,3.74509804001426
"doi:10.1371/journal.pone.0214082","nelson_2019_ipqrde","nelson_2019_ipqrde|nelson2019_ipqrd",2,86,43,198,198,TRUE,17028,FALSE,3.7233318569282
"doi:10.1371/journal.pone.0261617","fitriana_2022_hapwork_field","fitriana_2022_hapwork_field|fitriana_2022_hapwork_efa",2,49,18,105,370,FALSE,9915,FALSE,3.69452263240327
"doi:10.1371/journal.pone.0304140","kuczyk_2024_facemask_fba","kuczyk_2024_facemask_fba|kuczyk_2024_facemask_fbe",2,69,27,142,142,TRUE,9798,FALSE,3.69228834438306
"bib:@misc{Zahl_2023, title={The Influence of HEXACO Personality Traits on the Teamwork Quality in Student Software Teams - Supplementary Material}, author={Zähl, P.}, year={2023}, howpublished={\url{https://osf.io/jb94w/}}, note={[Dataset]}, publisher={OSF}}","zaehl2023_twq_commitment","zaehl2023_twq_commitment|zaehl2023_twq_coordination",2,8,4,54,54,TRUE,432,FALSE,3.67906042648964
"doi:10.1371/journal.pone.0246875","dolzdelcastellar_2021_eds","dolzdelcastellar_2021_eds|dolzdelcastellar_2021_stai",2,94,20,185,185,TRUE,17390,FALSE,3.64050506173635
"doi:10.3758/s13428-022-01834-3","spelling_assessment_study2","spelling_assessment_study2|spelling_assessment_study1",2,181,72,673,786,FALSE,129949,FALSE,3.62134839755731
"doi:10.17605/OSF.IO/4P8HZ","gilbert_meta_47","gilbert_meta_47|gilbert_meta_46",2,86,42,156,162,FALSE,13680,FALSE,3.61979126502113
"doi:10.1371/journal.pone.0257303","tanck_2021_edeq","tanck_2021_edeq|tanck_2021_bcq",2,51,23,73,73,TRUE,3723,FALSE,3.52332286012046
"doi:10.1371/journal.pone.0176698","jaracz_2017_job_stress","jaracz_2017_job_stress|jaracz_2017_temperament",2,117,8,200,200,TRUE,23400,FALSE,3.52102999566398
"doi:10.1177/10731911221134599","MEFSIRODGAS_Nileksela_2023_freq","MEFSIRODGAS_Nileksela_2023_freq|MEFSIRODGAS_Nileksela_2023_severity",2,182,91,499,499,TRUE,90818,FALSE,3.48476721229006
"doi:10.1371/journal.pone.0294786","ajaykumar_2023_experience","ajaykumar_2023_experience|ajaykumar_2023_nasa_tlx",2,11,5,27,27,TRUE,297,FALSE,3.35803043082565
"doi:10.31234/osf.io/jfgvr","xue_2024_study2_efa","xue_2024_study2_efa|xue_2024_full_dataset|xue_2024_study3_cfa",3,281,19,137,944,FALSE,174778,FALSE,3.26338723382307
"doi:10.1371/journal.pone.0307369","strohacker_2024_arms_readiness","strohacker_2024_arms_readiness|strohacker_2024_bmzi_motive",2,21,10,22,22,TRUE,462,FALSE,3.20242268082221
"doi:10.5334/jopd.49","fad_dataset1","fad_dataset1|fad_dataset2",2,86,27,56,584,FALSE,35968,FALSE,3.17485469367287
"doi:10.34894/IHNKUN","Fh_Okcsr_Roos_2022_study2_Feeling_Heard","Fh_Okcsr_Roos_2022_study2_Feeling_Heard|Fh_Okcsr_Roos_2022_study1_Feeling_Heard",2,208,102,194,1000,FALSE,122564,FALSE,2.90113506326356
"doi:10.3758/s13428-024-02579-x","nomt_hooper_2024_study1","nomt_hooper_2024_study1|nomt_hooper_2024_study2",2,360,144,119,393,FALSE,82296,FALSE,1.67554696139253
"doi:10.5334/joc.95","DART_Brysbaert_2020_1","DART_Brysbaert_2020_1|DART_Brysbaert_2020_3_4_5",2,396,132,199,219,FALSE,84084,FALSE,1.65885307640971
"doi:10.3758/s13428-022-01856-x","vermeiren_2022_vocab","vermeiren_2022_vocab|vermeiren_2022_comp|vermeiren_2022_nd|vermeiren_2022_bfi|vermeiren_2022_art|vermeiren_2022_rf|vermeiren_2022_gk",7,1465,56,199,236,FALSE,338895,FALSE,-0.467813590256961
"doi:10.1037/edu0000953","childrensocialcognition_cvencek_2025_mathgenderstereotype","childrensocialcognition_cvencek_2025_mathgenderstereotype|childrensocialcognition_cvencek_2025_genderidentity|childrensocialcognition_cvencek_2025_genderingroupbias|childrensocialcognition_cvencek_2025_flowerinsectattitude",4,1184,196,79,141,FALSE,132912,FALSE,-1.99570624204289
"doi:10.3758/s13428-021-01573-x","mturkddm_recognition","mturkddm_recognition|mturkddm_lexical|mturkddm_by|mturkddm_y25",4,6822,12,142,166,FALSE,969492,FALSE,-39.3277116556169
"doi:10.7910/DVN/8SWHNO","duolingo_es_en__reverse_translate","duolingo_es_en__reverse_translate|duolingo_es_en__listen|duolingo_en_es__reverse_translate|duolingo_es_en__reverse_tap|duolingo_en_es__reverse_tap|duolingo_fr_en__reverse_tap|duolingo_fr_en__reverse_translate|duolingo_en_es__listen|duolingo_fr_en__listen",9,421039,12276,1053,2643,FALSE,976797823,FALSE,-2794.90423829548
