"group_key","anchor","tables","k","items_total","items_min","n_min","n_max","same_n","cells_est","eligible","score"
"doi:10.1371/journal.pone.0260827","colomer_perez_2021_asa","colomer_perez_2021_asa|colomer_perez_2021_soc13",2,37,13,920,920,TRUE,34040,FALSE,4.71712116067889
"doi:10.1371/journal.pone.0279535","safiye_2023_rfq","safiye_2023_rfq|safiye_2023_mbi",2,30,8,823,823,TRUE,24690,FALSE,4.71539983521227
"doi:10.7910/DVN/RKBVKY","gilbert_meta_7","gilbert_meta_7|gilbert_meta_8",2,65,29,1335,1386,FALSE,88611,FALSE,4.69214793236726
"doi:10.7910/DVN/VNLWCB","gilbert_meta_26","gilbert_meta_26|gilbert_meta_25",2,30,15,779,779,TRUE,23370,FALSE,4.69153745767256
"doi:10.1080/13674676.2020.1850666","PeSCBCSCe_Novak_2020_SCBCS","PeSCBCSCe_Novak_2020_SCBCS|PeSCBCSCe_Novak_2020_SPIRIT",2,10,5,572,572,TRUE,5720,FALSE,4.69072936212636
"doi:10.1371/journal.pone.0287223","makowska_2023_pss4","makowska_2023_pss4|makowska_2023_pdts",2,10,4,558,558,TRUE,5580,FALSE,4.67996753227091
"doi:10.1037/pas0001309","PTCI_Chinese_Zhan_2024","PTCI_Chinese_Zhan_2024|ptcichina_zhan_2024",2,66,33,1206,1267,FALSE,81609,FALSE,4.64134730780413
"doi:10.1007/s12144-026-09064-y","social_media_godard_2026_msfu","social_media_godard_2026_msfu|social_media_godard_2026_paum",2,28,12,646,646,TRUE,18088,FALSE,4.62356585132842
"doi:10.1371/journal.pone.0288769","cinar_tanriverdi_2023_pmss","cinar_tanriverdi_2023_pmss|cinar_tanriverdi_2023_gad7",2,20,7,544,545,FALSE,10893,FALSE,4.60226556636485
"doi:10.1371/journal.pone.0137176","gan_2015_ucla_loneliness","gan_2015_ucla_loneliness|gan_2015_rrs|gan_2015_cesd",3,38,8,71,71,TRUE,2698,FALSE,4.59792501538574
"doi:10.1371/journal.pone.0159386","rowe_2016_mfi20","rowe_2016_mfi20|rowe_2016_bai|rowe_2016_symptoms",3,46,5,80,80,TRUE,3680,FALSE,4.59642332032528
"doi:10.1007/s11121-022-01346-8","cdm_mentalhealth_tan_2023_bsi","cdm_mentalhealth_tan_2023_bsi|cdm_mentalhealth_tan_2023_rapi",2,40,17,719,719,TRUE,28760,FALSE,4.59006222371622
"doi:10.1371/journal.pone.0289551","rosharudin_2023_dass21","rosharudin_2023_dass21|rosharudin_2023_ders18",2,39,18,689,689,TRUE,26871,FALSE,4.57821922190763
"doi:10.1073/pnas.1506047112","mpsycho_rwdq","mpsycho_rwdq|mpsycho_Rmotivation",2,54,18,852,1055,FALSE,49662,FALSE,4.5704395947667
"doi:10.31234/osf.io/zwu26","VEI_Brazillian_Shiramizu_2018_IRI","VEI_Brazillian_Shiramizu_2018_IRI|VEI_Brazillian_Shiramizu_2018_EI",2,42,14,698,698,TRUE,29316,FALSE,4.56385542262316
"doi:10.1016/j.paid.2025.113621","sadism_west_2026_cast","sadism_west_2026_cast|sadism_west_2026_srp",2,82,18,1268,1513,FALSE,108386,FALSE,4.55645258687905
"doi:10.1371/journal.pone.0174947","uffler_2017_seat_reasons","uffler_2017_seat_reasons|uffler_2017_lecture_seating",2,33,7,593,593,TRUE,19569,FALSE,4.55305469336426
"doi:10.1086/692912","KTEEM_Schoen_2019-2022","KTEEM_Schoen_2019-2022|schoen_2019_to_2022_mkt",2,70,35,1045,1130,FALSE,76125,FALSE,4.55244962378041
"doi:10.3886/E174781V1","gilbert_meta_43","gilbert_meta_43|gilbert_meta_42",2,48,20,726,726,TRUE,34848,FALSE,4.54093662070009
"doi:10.1371/journal.pone.0300388","chuemchit_2024_partner_violence","chuemchit_2024_partner_violence|chuemchit_2024_nonpartner_violence",2,10,5,405,494,FALSE,4495,FALSE,4.540788356548
"doi:10.1371/journal.pone.0199924","molino_2018_d6_scale","molino_2018_d6_scale|molino_2018_d5_scale",2,42,8,658,658,TRUE,27636,FALSE,4.53822589361396
"doi:10.7910/DVN/XBGUUL","gilbert_meta_50","gilbert_meta_50|gilbert_meta_51",2,19,8,449,449,TRUE,8531,FALSE,4.52557967433666
"doi:10.1080/13803395.2022.2080185","rapm_poulton_2022_timed","rapm_poulton_2022_timed|rapm_poulton_2022_untimed",2,24,12,479,608,FALSE,13044,FALSE,4.52033551341456
"doi:10.1111/jopy.12695","west_2021_aggnet_bfi2_agg_neu","west_2021_aggnet_bfi2_agg_neu|west_2021_aggnet_bpaq",2,44,17,616,616,TRUE,27104,FALSE,4.49624737883109
"bib:@misc{Marchi_Lainetti_Ramos_2024, title={Connecting Personality and Entrepreneurship: A Study on Intentions and Educational Programs}, author={Marchi Lainetti Ramos, I. and et al.}, year={2024}, howpublished={Harvard Dataverse}, url={https://doi.org/10.7910/DVN/IEK9PW}, doi={10.7910/DVN/IEK9PW}}","personality_entrepreneurship_brazil__ex","personality_entrepreneurship_brazil__ex|personality_entrepreneurship_brazil__abex",2,8,4,340,340,TRUE,2720,FALSE,4.47814558370892
"doi:10.1089/eco.2022.0049","rosetti_2023_gad7","rosetti_2023_gad7|rosetti_2023_cas",2,29,7,468,468,TRUE,13572,FALSE,4.47691251974079
"doi:10.1371/journal.pone.0221323","jeon_2019_cbi","jeon_2019_cbi|jeon_2019_cesd10",2,29,10,464,464,TRUE,13456,FALSE,4.47318464722155
"doi:10.1371/journal.pone.0227958","bakker_2020_rses","bakker_2020_rses|bakker_2020_pss10",2,20,10,402,403,FALSE,8050,FALSE,4.47089271975114
"bib:@misc{Webster-Harris_2025, title={Conspiracy Belief and the association with autistic traits, schizotypy, cognitive flexibility, and thinking styles}, DOI={10.6084/m9.figshare.30903575.v2}, publisher={figshare}, author={Webster-Harris, C}, year={2025}}","conspiracy_asd__conspiracy_gcbs","conspiracy_asd__conspiracy_gcbs|conspiracy_asd__thinking_styles",2,25,10,433,433,TRUE,10825,FALSE,4.4698212296867
"doi:10.3758/s13428-019-01309-y","deception_professors","deception_professors|deception_game",2,45,21,568,635,FALSE,27168,FALSE,4.45434833571102
"doi:10.1027/1015-5759/a000688","quopl2_forster_2021_elfe","quopl2_forster_2021_elfe|quopl2_forster_2021_quop|quopl2_forster_2021_cft|quopl2_forster_2021_dmat",4,427,32,1994,1994,TRUE,851438,FALSE,4.45305848730897
"doi:https://doi.org/10.7910/DVN/ZZPUWB","arora2025_blueq_pedagogical","arora2025_blueq_pedagogical|arora2025_blueq_synchronous|arora2025_blueq_asynchronous",3,23,6,40,40,TRUE,920,FALSE,4.44872665799463
