doi,n_tables,member_tables,total_items,min_n_participants,max_n_participants,n_categories_range,construct_types,n_distinct_construct,id_comparability_verified
10.57760/sciencedb.o00115.00089,3,chen_2022_cesd;chen_2022_gad;chen_2022_sasc,39,77211,77211,4-5,[untagged];Affective/mental health,2,not_tested
10.6084/m9.figshare.14870235.v1,3,kern_2021_learning;kern_2021_engagement;kern_2021_connectedness,30,350,350,4-4,[untagged],1,not_tested
10.6084/m9.figshare.28737626,3,gao2025_attachment_avoidance;gao2025_sse;gao2025_spiritual_wellbeing,24,459,459,5-7,[untagged],1,not_tested
10.6084/m9.figshare.30093970,3,chen2025_self_esteem;chen2025_activity_motivation;chen2025_body_image,48,1100,1100,5-5,[untagged],1,not_tested
10.6084/m9.figshare.32090683.v1,3,che_2026_social_support;che_2026_social_wellbeing;che_2026_regulatory_self_efficacy,49,897,897,5-5,[untagged],1,not_tested
10.1002/pam.22643,2,een_lacey_2024_children;een_lacey_2024_parent,37,2348,2485,6-6,Affective/mental health;Opinion/attitude,2,not_tested
10.1007/s11121-022-01346-8,2,cdm_mentalhealth_tan_2023_bsi;cdm_mentalhealth_tan_2023_rapi,40,719,719,5-5,Affective/mental health;Behavioral,2,not_tested
10.1007/s41811-024-00214-3,2,scs_suh_2023_siaps;scs_suh_2023_scs,42,361,681,5-7,Affective/mental health,1,not_tested
10.1016/j.jcbs.2025.100954,2,cfq_ruiz_2025_dass;cfq_ruiz_2025_cfq,28,3389,3389,4-7,Affective/mental health,1,not_tested
10.1037/a0021590,2,psychotools_gratitude_gq6;psychotools_gratitude_gart,22,1405,1405,7-9,Affective/mental health,1,not_tested
10.1037/pas0001354,2,narcissism_schneider_2025_study1_morf_hsns;narcissism_schneider_2025_study1_koeberl_hsns,20,1285,1417,5-5,Personality,1,not_tested
10.1089/eco.2022.0049,2,rosetti_2023_cas;rosetti_2023_gad7,29,468,468,4-5,[untagged],1,not_tested
10.1111/jopy.12695,2,west_2021_aggnet_bfi2_agg_neu;west_2021_aggnet_bpaq,44,616,616,5-7,Personality,1,not_tested
10.1186/s40359-025-03070-8,2,scs_2025_cfausatr;scs_2025_cfanonclinic,24,545,670,5-5,Affective/mental health,1,not_tested
10.1371/journal.pone.0149913,2,wurm_2016_mdi;wurm_2016_hbi,50,5897,5897,6-7,[untagged],1,not_tested
10.1371/journal.pone.0177758,2,kraft_todd_2017_care_measure;kraft_todd_2017_panas,30,1371,1372,5-6,[untagged],1,not_tested
10.1371/journal.pone.0207458,2,pecino_2018_justice_climate;pecino_2018_extrarole_wfb,40,442,442,6-6,[untagged],1,not_tested
10.1371/journal.pone.0221323,2,jeon_2019_cesd10;jeon_2019_cbi,29,464,464,4-5,[untagged],1,not_tested
10.1371/journal.pone.0243457,2,roelen_2020_k6;roelen_2020_rses,16,1381,1381,4-5,[untagged],1,not_tested
10.1371/journal.pone.0248591,2,tuason_2021_wellbeing;tuason_2021_sense_of_agency,14,938,938,7-9,Affective/mental health;Personality,2,not_tested
10.1371/journal.pone.0249815,2,daiku_2021_lying_frequency;daiku_2021_dirty_dozen,22,305,305,5-13,[untagged],1,not_tested
10.1371/journal.pone.0258323,2,chen_2021_acculturation;chen_2021_enculturation,48,310,310,5-5,[untagged],1,not_tested
10.1371/journal.pone.0260621,2,pechorro_impulsivity_2021_bes;pechorro_impulsivity_2021_ypitris,28,429,429,4-5,Affective/mental health;Personality,2,not_tested
10.1371/journal.pone.0260827,2,colomer_perez_2021_soc13;colomer_perez_2021_asa,37,920,920,5-7,[untagged],1,not_tested
10.1371/journal.pone.0263027,2,pranckeviciene_2022_gad7;pranckeviciene_2022_phq9,16,1358,1358,4-4,[untagged],1,not_tested
10.1371/journal.pone.0264722,2,pavic_2022_healthcare_trust;pavic_2022_vaccine_conspiracy,15,577,577,5-5,[untagged],1,not_tested
10.1371/journal.pone.0276803,2,odachi_2022_hads;odachi_2022_fear_covid19,21,417,417,5-5,[untagged],1,not_tested
10.1371/journal.pone.0279535,2,safiye_2023_rfq;safiye_2023_mbi,30,823,823,7-7,[untagged],1,not_tested
10.1371/journal.pone.0280313,2,menaldi_2023_mbi;menaldi_2023_brief_cope,50,388,388,4-7,[untagged],1,not_tested
10.1371/journal.pone.0289551,2,rosharudin_2023_ders18;rosharudin_2023_dass21,39,689,689,5-5,[untagged],1,not_tested
10.1371/journal.pone.0290452,2,huang_2023_d_scale;huang_2023_b_scale,21,631,631,5-7,[untagged],1,not_tested
10.1371/journal.pone.0297822.,2,frikha_2023_pe_acrs;frikha_2023_pe_ms,21,308,308,5-5,[untagged],1,not_tested
10.1371/journal.pone.0319700,2,wang_onlineriskexp_2025;wang_onlineriskexp_2025_anxiety,23,986,986,4-5,Affective/mental health;Behavioral,2,not_tested
10.1371/journal.pone.0324707,2,fan_2025_mbi_exhaustion;fan_2025_mbi_accomplishment,17,636,636,7-7,[untagged],1,not_tested
10.1371/journal.pone.0330637,2,zhou_2025_ehealth_literacy;zhou_2025_peer_relationship,24,14892,14892,4-5,[untagged],1,not_tested
10.17605/osf.io/9j6hm,2,test_taking_much_2025_ef;test_taking_much_2025_cm,19,1244,1244,4-101,Cognitive/educational,1,not_tested
10.26262/hjp.v19i1.8266,2,fcv19s_hossain_2022_anxiety;fcv19s_hossain_2022_fear,14,1317,1317,4-4,Affective/mental health,1,not_tested
10.31234/osf.io/uy9gb_v1,2,shorttripm_silvia_2025;sd4_silvia_2025,43,530,1151,4-5,Personality,1,not_tested
10.31234/osf.io/zwu26,2,vei_brazillian_shiramizu_2018_iri;vei_brazillian_shiramizu_2018_ei,42,698,698,5-5,Affective/mental health;Behavioral,2,not_tested
10.3389/feduc.2020.00015,2,erf_breuer_2017_tai;erf_breuer_2017_dosp,24,433,433,4-5,Cognitive/educational;Opinion/attitude,2,not_tested
10.3389/fpsyg.2013.00279,2,gcbs_brotherton_2013_tipi;gcbs_brotherton_2013,25,2495,2495,6-8,Opinion/attitude;Personality,2,not_tested
10.3389/fpsyg.2022.1014794.s001,2,chen2022_ses;chen2022_cls,26,303,303,4-5,[untagged],1,not_tested
10.3389/fpsyg.2022.852256,2,chen2022b_socsupport;chen2022b_psychabuse,26,417,417,5-7,[untagged],1,not_tested
10.6084/m9.figshare.16900393.v2,2,rosetti2023_climate_anxiety;rosetti2023_gad7,29,468,468,4-5,[untagged],1,not_tested
10.6084/m9.figshare.25378894.v1,2,dong_2024_engagement;dong_2024_ccaiq,28,332,332,6-6,[untagged],1,not_tested
10.7910/dvn/8lblys,2,kushnir2017_tsrq;kushnir2017_ftnd,21,319,319,4-7,[untagged],1,not_tested
10.7910/dvn/atlxc5,2,xu2024_self_efficacy;xu2024_noncompliance,15,414,414,5-5,[untagged],1,not_tested
10.7910/dvn/ibfk5h,2,facit_yount_2021_hadsx;facit_yount_2021_crqsasx,34,608,608,4-7,Affective/mental health;Physical health/functioning,2,not_tested
10.7910/dvn/qoo7qx,2,promispme_forrest_2021_ghglobal_children;promispme_forrest_2021_ghglobal_proxy,39,1807,3635,6-6,Physical health/functioning,1,not_tested
10.7910/dvn/t5taqa,2,mental_health_wang_2024_phq;mental_health_wang_2024_gad,16,958,958,4-4,Affective/mental health,1,not_tested
10.7910/dvn/zsja25,2,friedman_2018_risks_government;friedman_2018_risks_discrimination,12,3110,3110,6-6,Opinion/attitude,1,not_tested
data doi: 10.7910/dvn/edevgy,2,galindo_2023_social_support;galindo_2023_emotional_intelligence,24,951,951,5-5,[untagged],1,not_tested
