feature,irw_IQR,t9_IQR,IQRvsIQR,irw_range,t9_range,RANGEvsRANGE,IQRvsRANGE
OverallKurt,0.7070393254918688,0.6950000000000001,TRUE,2.0094611815166434,2.3,FALSE,FALSE
OverallRightKurt,0.11327674112794384,0.30099999999999993,FALSE,0.9017314401520227,1.061,FALSE,FALSE
OverallSD,0.7304756704881932,0.5290000000000001,TRUE,2.129550516881672,1.597,TRUE,FALSE
Skewness,0.37213564400199883,0.547,FALSE,1.5665215267753898,1.312,TRUE,FALSE
VarColPC1,11.061363064956424,5.685,TRUE,26.841378911095337,46.654,FALSE,FALSE
SkewColPC1,0.47306800531383675,0.603,FALSE,1.2049155847453183,1.629,FALSE,FALSE
SkewColPC2,0.31411344400459756,0.522,FALSE,1.2663725403774695,2.063,FALSE,FALSE
Mean_Row_Corr,0.15518213578564166,0.22300000000000003,FALSE,0.653716170299437,0.564,TRUE,FALSE
Row_Corr_Kurtosis,0.498014595803552,0.735,FALSE,2.4043706612501268,3.939,FALSE,FALSE
CorrRightKurt,0.6715605005217249,0.6619999999999999,TRUE,11.450439646043352,2.6719999999999997,TRUE,FALSE
Mean_Col_Kurtosis,0.8301040540423614,0.412,TRUE,5.952321476859801,3.607,TRUE,FALSE
Mean_SD_Ratio,0.06149682684619262,0.08200000000000007,FALSE,0.45552989409566713,0.43599999999999994,TRUE,FALSE
intrinsicDemnsionalityProp,0.10416666666666663,0.11599999999999999,FALSE,0.3125,0.37099999999999994,FALSE,FALSE
