table,dataset,n_items,n_participants,n_categories,n_responses,density,longitudinal,construct_type,ct_primary,affect_cog,item_format,measurement_tool,construct_name,doi,license
resistance,item_response_warehouse,14,506,6,7084,1,FALSE,"Cognitive/educational, Behavioral",Cognitive/educational,cognitive,Likert Scale/selected response,Survey/questionnaire,A Reassessment of the Resistance to Framing Scale (2021),10.3758/s13428-022-01876-7,CC BY 4.0
beh_boredom_bieleke2022,item_response_warehouse,19,636,6,12084,1,FALSE,Behavioral,Behavioral,other,Likert Scale/selected response,Survey/questionnaire,Assessment of Adaptive and Maladaptive Behaviors in Response to Boredom,10.1098/rsos.211998,CC BY 4.0
pppasbpnssedaisw_pedro_2022_ebsv,item_response_warehouse,6,1648,6,9888,1,FALSE,Affective/mental health,Affective/mental health,affective/opinion,Likert Scale/selected response,Survey/questionnaire,The Brief Multidimensional Student’s Life Satisfaction Scale (BMSLSS),10.1177/07342829221125843,CC0 1.0
cpdmmc_kunnari_2020_hcd,item_response_warehouse,12,1043,7,12516,1,FALSE,Cognitive/educational,Cognitive/educational,cognitive,Likert Scale/selected response,Test,"Utilitarian Inclinations and Deontological Inclinations in moral judgment, measured via the Process Dissociation Procedure",10.3389/fpsyg.2020.559934,CC BY 4.0
movac_pakpour2022,item_response_warehouse,12,6008,7,72096,1,FALSE,Opinion/attitude,Opinion/attitude,affective/opinion,Likert Scale/selected response,Survey/questionnaire,Motors of COVID-19 Vaccination Acceptance Scale (MoVac-COVID19S),10.7910/dvn/u8zydf,CC0 1.0
fivpei_perrig_2023_attdiff,item_response_warehouse,21,1551,7,32571,1,FALSE,Affective/mental health,Affective/mental health,affective/opinion,Likert Scale/selected response,Survey/questionnaire,AttrakDif semantic diferential scale,10.17605/osf.io/8xuhr,CC BY 4.0
fivpei_perrig_2023_pens,item_response_warehouse,21,1551,7,32571,1,FALSE,"Affective/mental health, Cognitive/educational",Affective/mental health,affective/opinion,Likert Scale/selected response,Survey/questionnaire,Player Experience of Need Satisfaction,10.17605/osf.io/8xuhr,CC BY 4.0
fivpei_perrig_2023_pxi,item_response_warehouse,33,1551,7,51183,1,FALSE,"Affective/mental health, Cognitive/educational",Affective/mental health,affective/opinion,Likert Scale/selected response,Survey/questionnaire,Player Experience Inventory,10.17605/osf.io/8xuhr,CC BY 4.0
fivpei_perrig_2023_imi,item_response_warehouse,7,1551,7,10857,1,FALSE,Affective/mental health,Affective/mental health,affective/opinion,Likert Scale/selected response,Survey/questionnaire,Intrinsic Motivation Inventory,10.17605/osf.io/8xuhr,CC BY 4.0
ewas_sanford_2024_flourish,item_response_warehouse,8,482,7,3856,1,FALSE,Affective/mental health,Affective/mental health,affective/opinion,Likert Scale/selected response,Survey/questionnaire,"Everyday Well-Being Appraisals, Flourishing Scale",10.1037/pas0001336,CC BY 4.0
sabfi2_gallardo_pujol_2018_constru,item_response_warehouse,13,419,9,5447,1,FALSE,Cognitive/educational,Cognitive/educational,cognitive,Likert Scale/selected response,Survey/questionnaire,Self-Construal Scale,10.1027/2698-1866/a000020,CC BY 4.0
estcrm_selfeff,item_response_warehouse,10,307,161,3070,1,FALSE,Affective/mental health,Affective/mental health,affective/opinion,Slider/continuous,Survey/questionnaire,Teaching self-efficacy scale,na,GPL-3.0
heard_roch_2022_swlpwi,item_response_warehouse,8,600,11,4800,1,FALSE,Affective/mental health,Affective/mental health,affective/opinion,Likert Scale/selected response,Survey/questionnaire,Life satisfaction asked of refugees,10.31219/osf.io/vq3ty,CC BY 4.0
sabfi2_gallardo_pujol_2018_micro,item_response_warehouse,6,419,4,2514,1,FALSE,NA,NA,other,NA,NA,Racial microagression scale,10.1027/2698-1866/a000020,CC BY 4.0
dass_thiyagarajan2022,item_response_warehouse,21,971,4,20391,1,FALSE,Affective/mental health,Affective/mental health,affective/opinion,Likert Scale/selected response,Survey/questionnaire,"The Depression, Anxiety, and Stress Scale-21 Items (DASS-21)",10.7910/dvn/ajvln6,CC0 1.0
mpsycho_asti,item_response_warehouse,25,1129,4,28225,1,FALSE,Cognitive/educational,Cognitive/educational,cognitive,Likert Scale/selected response,Survey/questionnaire,Adult Self-Transcendence Inventory,10.2190/xrxm-fyra-7u0x-grc0,GPL-2.0
wemwbs_brummerhoffman_2021,item_response_warehouse,7,1828,5,12796,1,TRUE,Affective/mental health,Affective/mental health,affective/opinion,Likert Scale/selected response,Survey/questionnaire,"Depression and anxiety question framing: The impact of asking about symptom's frequency, context, duration, ability and botherement - Warwick-Edinburgh Mental Well-Being Scale",10.1037/pas0001323,CC BY 4.0
