"table","replicate","seed","method","pearsongamma","within_ss","wb_ratio","ch","aic_improvement","aic_improvement_trimmed","aic_status"
"ada_boredom_bieleke2022",1,101,"eJaccard",0.112693981036023,153.885203891913,1.17437225275713,56.8080947397844,1301.29373146392,1301.29373146392,"ok"
"ada_boredom_bieleke2022",1,101,"Podani",0.00947959523693023,157.823299558705,1.14591590779121,42.0749312629992,1637.57537514141,1637.57537514141,"ok"
"ada_boredom_bieleke2022",1,101,"Euclidean",0.0151921865683232,141.966336283143,1.07737155059316,35.2573742299751,1421.97578312252,1421.97578312252,"ok"
"ada_boredom_bieleke2022",1,101,"Cosine",0.315207017574152,162.301834293271,1.34804181017033,4.17278689760387,NA,1875.86392064348,"failed"
"ada_boredom_bieleke2022",1,101,"eDice",0.200846524101659,152.400243081678,1.20830677237992,54.3069345584858,1211.0799922614,1211.0799922614,"ok"
"ada_boredom_bieleke2022",1,101,"Correlation",0.343387265788233,166.437883425531,1.3630505214745,50.6974782854565,1444.51400804201,1444.51400804201,"ok"
"ada_boredom_bieleke2022",1,101,"ACE",0.260012661682188,166.986756922469,1.29291226462736,51.2167116811657,1445.13631916198,1445.13631916198,"ok"
"ada_boredom_bieleke2022",1,101,"Original Relationality",0.106265290766919,137.764390347996,1.1013222062008,26.7707074840502,640.937781931905,640.937781931905,"ok"
"ada_boredom_bieleke2022",1,101,"Recursive Relationality",0.161269454073001,164.677821163854,1.2497894765597,36.6981209880026,1698.24879562527,1698.24879562527,"ok"
"ada_boredom_bieleke2022",1,101,"Ensemble",0.168526730725939,165.769292038504,1.25561308959543,50.0603467789605,1538.03884377108,1538.03884377108,"ok"
"ada_boredom_bieleke2022",2,202,"eJaccard",0.0970942591550797,153.481210178034,1.16465753035255,56.1324295166053,1255.34051270124,1255.34051270124,"ok"
"ada_boredom_bieleke2022",2,202,"Podani",0.0147914382309685,157.843023236502,1.14862262113892,42.0957481584522,1544.06949434464,1544.06949434464,"ok"
"ada_boredom_bieleke2022",2,202,"Euclidean",0.0502101958612469,143.061655228521,1.09697039839787,37.3876754552111,1444.43532696664,1444.43532696664,"ok"
"ada_boredom_bieleke2022",2,202,"Cosine",0.31665689020575,161.946885721491,1.3477179555983,4.14104263454053,NA,1875.87926063484,"failed"
"ada_boredom_bieleke2022",2,202,"eDice",0.178643356735338,151.28006114377,1.19191906018718,52.3876902896544,1195.08902166041,1195.08902166041,"ok"
"ada_boredom_bieleke2022",2,202,"Correlation",0.365216361669716,168.803702973256,1.38475438189893,52.9114498229754,1383.58787091158,1383.58787091158,"ok"
"ada_boredom_bieleke2022",2,202,"ACE",0.11851825014495,154.506567417176,1.18402406694383,57.8404067626665,1104.52440822443,1104.52440822443,"ok"
"ada_boredom_bieleke2022",2,202,"Original Relationality",0.0673795011494827,138.487689186,1.08487707738836,18.815442235408,593.129808749745,593.129808749745,"ok"
"ada_boredom_bieleke2022",2,202,"Recursive Relationality",0.10219965835137,162.595569272315,1.21340593714489,35.1671006328733,1694.91177290698,1694.91177290698,"ok"
"ada_boredom_bieleke2022",2,202,"Ensemble",0.12822655134364,158.000214248424,1.20680474509158,63.4934644628754,1151.13403389796,1151.13403389796,"ok"
"ada_boredom_bieleke2022",3,303,"eJaccard",0.10905280559977,154.136230892846,1.17359111267737,57.2261444012286,1277.23416782092,1277.23416782092,"ok"
"ada_boredom_bieleke2022",3,303,"Podani",0.0243692967242244,158.134732100813,1.15372592017414,42.4030191344089,1545.85560630689,1545.85560630689,"ok"
"ada_boredom_bieleke2022",3,303,"Euclidean",0.0151921865683232,141.966336283143,1.07737155059316,35.2573742299751,1421.97578312252,1421.97578312252,"ok"
"ada_boredom_bieleke2022",3,303,"Cosine",0.309749904838196,162.580240366162,1.34319290451035,4.19758870669897,NA,1879.38647811966,"failed"
"ada_boredom_bieleke2022",3,303,"eDice",0.178643356735338,151.28006114377,1.19191906018718,52.3876902896544,1195.08902166041,1195.08902166041,"ok"
"ada_boredom_bieleke2022",3,303,"Correlation",0.312600086397477,163.907291412452,1.33823627927048,48.2585656355967,1371.9128491611,1371.9128491611,"ok"
"ada_boredom_bieleke2022",3,303,"ACE",0.287547300719357,160.674358926389,1.27889605133145,45.0309905307938,1265.65212207163,1265.65212207163,"ok"
"ada_boredom_bieleke2022",3,303,"Original Relationality",0.0547020053288138,134.368907872606,1.01580567818346,19.5251005699714,348.224774129714,348.224774129714,"ok"
"ada_boredom_bieleke2022",3,303,"Recursive Relationality",0.195043015481296,161.30340123811,1.25233027402555,45.6691281224777,1492.84967024372,1492.84967024372,"ok"
"ada_boredom_bieleke2022",3,303,"Ensemble",0.295022488255679,152.065744092375,1.31855140588303,107.644984451151,895.274480171323,895.274480171323,"ok"
"algner2022_mimi16",2,202,"eJaccard",0.0597235807017259,43.4584838213288,1.09014282378511,34.906401630387,1092.03486961752,1092.03486961752,"ok"
"algner2022_mimi16",2,202,"Podani",0.0812252214908242,53.6502847863404,1.23437410209702,56.9390660150937,1064.88464723208,1064.88464723208,"ok"
"algner2022_mimi16",2,202,"Euclidean",0.0806528611254331,43.4487333109616,1.10075269466529,34.8465742557629,659.667980560575,659.667980560575,"ok"
"algner2022_mimi16",2,202,"Cosine",0.0715641560214742,44.3714196660873,1.10564602088207,40.3915281773023,1534.75484063135,1534.75484063135,"ok"
"algner2022_mimi16",2,202,"eDice",0.0156925831497369,39.7288187506606,1.02170180951896,9.87910751064012,NA,NA,"failed"
"algner2022_mimi16",2,202,"Correlation",0.28095814223374,57.5453957523057,1.44446480399535,66.6676454451411,1163.1822785496,1163.1822785496,"ok"
"algner2022_mimi16",2,202,"ACE",0.192996660362201,56.6792016280946,1.33840243247124,38.6430811628174,993.08905992248,993.08905992248,"ok"
"algner2022_mimi16",2,202,"Original Relationality",0.0105286509860194,39.3639988951185,1.01501715489767,7.17640720434008,271.894622548571,271.894622548571,"ok"
"algner2022_mimi16",2,202,"Recursive Relationality",0.276612281492329,55.8137720844712,1.43515949544048,62.5103224772064,1107.10398362265,1107.10398362265,"ok"
"algner2022_mimi16",2,202,"Ensemble",0.25639371344543,53.4364799789463,1.38362900459882,84.6864376886279,995.279212005044,995.279212005044,"ok"
"algner2022_mimi16",3,303,"eJaccard",0.0597235807017259,43.4584838213288,1.09014282378511,34.906401630387,1092.03486961752,1092.03486961752,"ok"
"algner2022_mimi16",3,303,"Podani",0.0625644736912809,50.5526573183708,1.18745323759306,48.1321192134685,1088.07859101011,1088.07859101011,"ok"
"algner2022_mimi16",3,303,"Euclidean",0.0811174153595269,42.9138083250305,1.09269699810523,31.5227121800796,615.66679465949,615.66679465949,"ok"
"algner2022_mimi16",3,303,"Cosine",0.0715641560214742,44.3714196660873,1.10564602088207,40.3915281773023,1534.75484063135,1534.75484063135,"ok"
"algner2022_mimi16",3,303,"eDice",0.0156925831497369,39.7288187506606,1.02170180951896,9.87910751064012,NA,NA,"failed"
"algner2022_mimi16",3,303,"Correlation",0.314067346077629,62.2168664130378,1.51061344925802,57.4509954538033,1417.36949629811,1417.36949629811,"ok"
"algner2022_mimi16",3,303,"ACE",0.208884897660716,58.6354463569205,1.37541962934176,41.357378631621,1190.40429846434,1190.40429846434,"ok"
"algner2022_mimi16",3,303,"Original Relationality",0.0112722872612729,39.4149154294002,1.01580796232795,7.55661700916209,310.892618095553,310.892618095553,"ok"
"algner2022_mimi16",3,303,"Recursive Relationality",0.272614068183408,56.3283557638745,1.43708379989657,63.7724399127648,1073.82221308505,1073.82221308505,"ok"
"algner2022_mimi16",3,303,"Ensemble",0.254958606294125,53.6355783039063,1.38697171981129,85.4912619946177,1046.26378615148,1046.26378615148,"ok"
"alsuhibani_2022_pads_s1",1,101,"eJaccard",0.0539070128095674,42.3480267189102,1.09133131906827,23.7679522038998,567.997630555665,567.997630555665,"ok"
"alsuhibani_2022_pads_s1",1,101,"Podani",0.220796655017952,56.8893067518886,1.36037877859551,35.9631159940968,824.849189541275,824.849189541275,"ok"
"alsuhibani_2022_pads_s1",1,101,"Euclidean",0.140331994559095,44.1090867393571,1.16290781134846,20.846414466867,714.433699612171,714.433699612171,"ok"
"alsuhibani_2022_pads_s1",1,101,"Cosine",0.193859684080273,46.8517085933729,1.25380828662973,42.0061938885341,825.787239445854,825.787239445854,"ok"
"alsuhibani_2022_pads_s1",1,101,"eDice",0.0339453113024079,41.1018974729398,1.06078240479996,18.0156471232834,453.394464945679,453.394464945679,"ok"
"alsuhibani_2022_pads_s1",1,101,"Correlation",0.394840239230906,72.2976512481563,1.71695178897086,33.8021246081622,1258.51436726122,1258.51436726122,"ok"
"alsuhibani_2022_pads_s1",1,101,"ACE",0.274427028071952,60.8583697937179,1.465612376783,23.0062133869539,NA,NA,"failed"
