"table","dataset","n_items","n_participants","n_categories","n_responses","density","longitudinal","construct_type","ct_primary","affect_cog","item_format","measurement_tool","construct_name","doi","license","catband","stratum","eff_N","N_short"
"sabfi2_gallardo_pujol_2018_tight","item_response_warehouse",6,419,5,2514,1,FALSE,NA,NA,"other",NA,NA,"Tightness-looseness scale","10.1027/2698-1866/a000020","CC BY 4.0","4-5","other | 4-5",419,TRUE
"safiye_2023_rfq","item_response_warehouse_3",8,823,7,6584,1,FALSE,NA,"[untagged]","untagged",NA,NA,NA,"10.1371/journal.pone.0279535","CC BY 4.0","6-7","untagged | 6-7",823,TRUE
"sd3ypl_klimczak_2019_sd3","item_response_warehouse_2",26,730,7,18980,1,FALSE,"Personality","Personality","affective/opinion","Likert Scale/selected response","Survey/questionnaire","Dark Triad traits","10.5114/cipp.2020.99627","CC BY 4.0","6-7","affective/opinion | 6-7",730,TRUE
"sexual_compulsivity","item_response_warehouse",10,3376,4,33760,1,FALSE,"Physical health/functioning","Physical health/functioning","other","Likert Scale/selected response","Survey/questionnaire","Sexual Compulsivity Scale","na","CC BY 4.0","4-5","other | 4-5",2000,FALSE
"shorttripm_silvia_2025","item_response_warehouse_2",15,1151,4,17265,1,FALSE,"Personality","Personality","affective/opinion","Likert Scale/selected response","Survey/questionnaire","Short TriPM","10.31234/osf.io/uy9gb_v1","CC BY 4.0","4-5","affective/opinion | 4-5",1151,TRUE
"shu_2025_translation_eib","item_response_warehouse",7,1054,9,7378,1,FALSE,"Affective/mental health, Opinion/attitude","Affective/mental health","affective/opinion","Likert Scale/selected response","Survey/questionnaire","Emotional Identification and Belongingness","10.1371/journal.pone.0318101","CC BY 4.0","8+","affective/opinion | 8+",1054,TRUE
"silva_2018_mbds","item_response_warehouse_3",12,802,28,9624,1,FALSE,NA,"[untagged]","untagged",NA,NA,NA,"10.1371/journal.pone.0199480","CC BY 4.0","8+","untagged | 8+",802,TRUE
"singh_2025_identity_pss","item_response_warehouse",10,1470,5,14700,1,FALSE,"Opinion/attitude, Affective/mental health","Opinion/attitude","affective/opinion","Likert Scale/selected response","Survey/questionnaire","Stress","10.1371/journal.pone.0318449","CC BY 4.0","4-5","affective/opinion | 4-5",1470,TRUE
"sned_bendall_2024","item_response_warehouse",6,801,10,4806,1,FALSE,"Other","Other","other","Likert Scale/selected response","Observational rating","The Salford Nature Environments Database (SNED)","10.3758/s13428-024-02556-4","CC0 1.0","8+","other | 8+",801,TRUE
"song_2023_mpats","item_response_warehouse_3",16,1238,5,19808,1,FALSE,NA,"[untagged]","untagged",NA,NA,NA,"10.1371/journal.pone.0284335","CC BY 4.0","4-5","untagged | 4-5",1238,TRUE
"song_2025_sc","item_response_warehouse_3",6,485,5,2910,1,FALSE,"Opinion/attitude","Opinion/attitude","affective/opinion","Likert Scale/selected response","Survey/questionnaire","Service climate scale","10.1371/journal.pone.0323811","CC BY 4.0","4-5","affective/opinion | 4-5",485,TRUE
"suicide_reinbergs_2025_stig","item_response_warehouse_2",9,1258,4,11322,1,FALSE,"Opinion/attitude","Opinion/attitude","affective/opinion","Likert Scale/selected response","Survey/questionnaire","Stigma–9 Questionnaire (STIG-9)","10.31219/osf.io/3vd9f_v1","CC BY 4.0","4-5","affective/opinion | 4-5",1258,TRUE
"thanh_2025_green_knowledge","item_response_warehouse_3",6,407,5,2442,1,FALSE,NA,"[untagged]","untagged",NA,NA,NA,"10.1371/journal.pone.0320053","CC BY 4.0","4-5","untagged | 4-5",407,TRUE
"tian2026_digital_competence","item_response_warehouse_2",29,764,5,22156,1,FALSE,NA,"[untagged]","untagged",NA,NA,NA,"10.6084/m9.figshare.32564154.v1","CC BY 4.0","4-5","untagged | 4-5",764,TRUE
"vei_brazillian_shiramizu_2018_iri","item_response_warehouse",28,698,5,19544,1,FALSE,"Affective/mental health, Cognitive/educational","Affective/mental health","affective/opinion","Likert Scale/selected response","Survey/questionnaire","Interpersonal Reactivity Index (IRI)","10.31234/osf.io/zwu26","CC BY 4.0","4-5","affective/opinion | 4-5",698,TRUE
"wang2022_fomo","item_response_warehouse_2",10,324,5,3240,1,FALSE,NA,"[untagged]","untagged",NA,NA,NA,"10.3389/fpsyt.2022.827519","CC BY 4.0","4-5","untagged | 4-5",324,TRUE
"wang_onlineriskexp_2025_anxiety","item_response_warehouse",7,986,4,6902,1,FALSE,"Affective/mental health","Affective/mental health","affective/opinion","Likert Scale/selected response","Survey/questionnaire","Anxiety scale","10.1371/journal.pone.0319700","CC BY 4.0","4-5","affective/opinion | 4-5",986,TRUE
"west_2021_aggnet_bfi2_agg_neu","item_response_warehouse_2",17,616,5,10472,1,FALSE,"Personality","Personality","affective/opinion","Likert Scale/selected response","Survey/questionnaire","Big Five Inventory Agreeableness and Neuroticism","10.1111/jopy.12695",NA,"4-5","affective/opinion | 4-5",616,TRUE
"xu2024_self_efficacy","item_response_warehouse_2",7,414,5,2898,1,FALSE,NA,"[untagged]","untagged",NA,NA,NA,"10.7910/dvn/atlxc5","CC0 1.0","4-5","untagged | 4-5",414,TRUE
"yang_2026_stress_response","item_response_warehouse_3",32,1033,5,33056,1,FALSE,NA,"[untagged]","untagged",NA,NA,NA,"10.1371/journal.pone.0350928","CC BY 4.0","4-5","untagged | 4-5",1033,TRUE
"zeng_2025_academic_buoyancy_cfa","item_response_warehouse_3",21,423,5,8883,1,FALSE,NA,"[untagged]","untagged",NA,NA,NA,"10.1371/journal.pone.0318347","CC BY 4.0","4-5","untagged | 4-5",423,TRUE
"zhou_2025_peer_relationship","item_response_warehouse_3",16,14892,4,238272,1,FALSE,NA,"[untagged]","untagged",NA,NA,NA,"10.1371/journal.pone.0330637","CC BY 4.0","4-5","untagged | 4-5",2000,FALSE
