"table","dataset","n_items","n_participants","n_categories","n_responses","density","longitudinal","construct_type","ct_primary","affect_cog","item_format","measurement_tool","construct_name","doi","license","catband","stratum","eff_N","N_short"
"cdm_mentalhealth_tan_2023_bsi","item_response_warehouse",17,719,5,12223,1,FALSE,"Affective/mental health","Affective/mental health","affective/opinion","Likert Scale/selected response","Survey/questionnaire","Brief Symptom Inventory (BSI)","10.1007/s11121-022-01346-8","CC BY 4.0","4-5","affective/opinion | 4-5",719,TRUE
"chen2022b_psychabuse","item_response_warehouse_3",14,417,5,5838,1,FALSE,NA,"[untagged]","untagged",NA,NA,NA,"10.3389/fpsyg.2022.852256","CC BY 4.0","4-5","untagged | 4-5",417,TRUE
"chen2022b_socsupport","item_response_warehouse_3",12,417,7,5004,1,FALSE,NA,"[untagged]","untagged",NA,NA,NA,"10.3389/fpsyg.2022.852256","CC BY 4.0","6-7","untagged | 6-7",417,TRUE
"christiannationalism_davis2021","item_response_warehouse",6,1378,5,8268,1,FALSE,"Opinion/attitude","Opinion/attitude","affective/opinion","Likert Scale/selected response","Survey/questionnaire","Christian Nationalism Scale (Six-Item Index)","10.1017/s1755048322000256","CC0 1.0","4-5","affective/opinion | 4-5",1378,TRUE
"colomer_perez_2021_asa","item_response_warehouse_3",24,920,5,22080,1,FALSE,NA,"[untagged]","untagged",NA,NA,NA,"10.1371/journal.pone.0260827","CC BY 4.0","4-5","untagged | 4-5",920,TRUE
"consideration_future_consequences","item_response_warehouse",12,15035,5,180420,1,FALSE,"Behavioral","Behavioral","other","Likert Scale/selected response","Test","Experiences in Close Relationships Scale","na","CC BY 4.0","4-5","other | 4-5",2000,FALSE
"conspiracy_asd__conspiracy_gcbs","item_response_warehouse_2",15,433,5,6495,1,FALSE,NA,"[untagged]","untagged",NA,NA,NA,"na","CC BY 4.0","4-5","untagged | 4-5",433,TRUE
"conspiracy_asd__schizotypy","item_response_warehouse_2",37,433,5,16021,1,FALSE,NA,"[untagged]","untagged",NA,NA,NA,"na","CC BY 4.0","4-5","untagged | 4-5",433,TRUE
"daiku_2021_dirty_dozen","item_response_warehouse_3",12,305,5,3660,1,FALSE,NA,"[untagged]","untagged",NA,NA,NA,"10.1371/journal.pone.0249815","CC BY 4.0","4-5","untagged | 4-5",305,TRUE
"depression_hymcohort_tang2022","item_response_warehouse",24,448,5,10752,1,FALSE,"Affective/mental health","Affective/mental health","affective/opinion","Likert Scale/selected response","Survey/questionnaire","BSI Depression and PROMIS Depression","10.1371/journal.pone.0278232","CC0 1.0","4-5","affective/opinion | 4-5",448,TRUE
