"table","replicate","seed","n_items","n_resp","method","status","k","largest_prop","n_substantive","secs","degenerate"
"alsuhibani_2022_pads_s1",1,101,10,430,"ACE","ok",8,0.22093023255814,6,242.813,FALSE
"alsuhibani_2022_pads_s1",1,101,10,430,"Original Relationality","ok",3,0.393023255813953,3,6.56999999999999,FALSE
"alsuhibani_2022_pads_s1",1,101,10,430,"Recursive Relationality","ok",4,0.297674418604651,4,5.76500000000004,FALSE
"alsuhibani_2022_pads_s1",1,101,10,430,"Ensemble","ok",4,0.288372093023256,4,0.298999999999978,FALSE
"alsuhibani_2022_pads_s1",2,202,10,430,"eJaccard","ok",3,0.430232558139535,3,0.38900000000001,FALSE
"alsuhibani_2022_pads_s1",2,202,10,430,"Podani","ok",5,0.295348837209302,5,11.332,FALSE
"alsuhibani_2022_pads_s1",2,202,10,430,"Euclidean","ok",4,0.355813953488372,4,0.850999999999999,FALSE
"alsuhibani_2022_pads_s1",2,202,10,430,"Cosine","ok",3,0.388372093023256,3,0.146999999999991,FALSE
"alsuhibani_2022_pads_s1",2,202,10,430,"eDice","ok",3,0.446511627906977,3,0.870999999999981,FALSE
"alsuhibani_2022_pads_s1",2,202,10,430,"Correlation","ok",6,0.204651162790698,6,0.119000000000028,FALSE
"alsuhibani_2022_pads_s1",2,202,10,430,"ACE","ok",7,0.22093023255814,5,194.15,FALSE
"alsuhibani_2022_pads_s1",2,202,10,430,"Original Relationality","ok",4,0.402325581395349,4,4.65599999999995,FALSE
"alsuhibani_2022_pads_s1",2,202,10,430,"Recursive Relationality","ok",4,0.306976744186047,4,4.78300000000002,FALSE
"alsuhibani_2022_pads_s1",2,202,10,430,"Ensemble","ok",4,0.293023255813953,4,0.235000000000014,FALSE
"alsuhibani_2022_pads_s1",3,303,10,430,"eJaccard","ok",3,0.455813953488372,3,0.397000000000048,FALSE
"alsuhibani_2022_pads_s1",3,303,10,430,"Podani","ok",5,0.22093023255814,5,17.3339999999999,FALSE
"alsuhibani_2022_pads_s1",3,303,10,430,"Euclidean","ok",4,0.376744186046512,4,0.516000000000076,FALSE
"alsuhibani_2022_pads_s1",3,303,10,430,"Cosine","ok",3,0.541860465116279,3,0.183999999999969,FALSE
"alsuhibani_2022_pads_s1",3,303,10,430,"eDice","ok",3,0.446511627906977,3,0.994000000000028,FALSE
"alsuhibani_2022_pads_s1",3,303,10,430,"Correlation","ok",6,0.293023255813953,4,0.123000000000047,FALSE
"alsuhibani_2022_pads_s1",3,303,10,430,"ACE","ok",7,0.276744186046512,5,193.361,FALSE
"alsuhibani_2022_pads_s1",3,303,10,430,"Original Relationality","ok",4,0.413953488372093,4,6.92999999999995,FALSE
"alsuhibani_2022_pads_s1",3,303,10,430,"Recursive Relationality","ok",5,0.216279069767442,5,5.55700000000002,FALSE
"alsuhibani_2022_pads_s1",3,303,10,430,"Ensemble","ok",4,0.288372093023256,4,0.245000000000005,FALSE
"alsyouf_2024_facilitating_conditions",1,101,6,429,"eJaccard","ok",4,0.333333333333333,4,0.367999999999938,FALSE
"alsyouf_2024_facilitating_conditions",1,101,6,429,"Podani","ok",4,0.370629370629371,4,5.08800000000019,FALSE
"alsyouf_2024_facilitating_conditions",1,101,6,429,"Euclidean","ok",3,0.447552447552448,3,0.350999999999658,FALSE
"alsyouf_2024_facilitating_conditions",1,101,6,429,"Cosine","ok",4,0.321678321678322,4,0.130000000000109,FALSE
"alsyouf_2024_facilitating_conditions",1,101,6,429,"eDice","ok",4,0.393939393939394,4,1.04399999999987,FALSE
"alsyouf_2024_facilitating_conditions",1,101,6,429,"Correlation","ok",5,0.363636363636364,5,0.0720000000001164,FALSE
"alsyouf_2024_facilitating_conditions",1,101,6,429,"ACE","ok",7,0.337995337995338,5,242.506,FALSE
"alsyouf_2024_facilitating_conditions",1,101,6,429,"Original Relationality","ok",3,0.435897435897436,3,6.06700000000001,FALSE
"alsyouf_2024_facilitating_conditions",1,101,6,429,"Recursive Relationality","ok",4,0.333333333333333,4,1.52400000000034,FALSE
"alsyouf_2024_facilitating_conditions",1,101,6,429,"Ensemble","ok",4,0.282051282051282,4,0.179000000000087,FALSE
"alsyouf_2024_facilitating_conditions",2,202,6,429,"eJaccard","ok",4,0.293706293706294,4,0.422999999999774,FALSE
