Filename,Table name [should match with redivis],Description,URL,Reference,DOI,Original License,Public Reshare?,Derived License,Notes,Contributor,Date,BibTex
sds,sds,Item responses from the Symptom Distress Scale,https://cran.r-project.org/web/packages/TestGardener/index.html,"Ramsay J (2023). _TestGardener: Optimal Analysis of Test and Rating Scale Data_. R package version 3.1.4, <https://CRAN.R-project.org/package=TestGardener>.",,GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 1-27-2023,BD,,"@Manual{TestGardener2023,
  title = {TestGardener: Optimal Analysis of Test and Rating Scale Data},
  author = {James Ramsay},
  year = {2023},
  note = {R package version 3.1.4},
  url = {https://CRAN.R-project.org/package=TestGardener}
}"
sexual_compulsivity,sexual_compulsivity,Answers to the Sexual Compulsivity Scale,http://openpsychometrics.org/_rawdata/,Sexual Compulsivity Scale [dataset and codebook]. http://openpsychometrics.org/_rawdata/SCS.zip,,,Public,CC BY 4.0,,LCM,,"@misc{SCS_dataset,
  title = {Sexual Compulsivity Scale [dataset and codebook]},
  howpublished = {\\url{http://openpsychometrics.org/_rawdata/SCS.zip}},
  note = {Accessed via \\url{http://openpsychometrics.org/_rawdata/}},
  year = {n.d.}
}"
SF12_MLCIRTwithin,sf12_mlcirtwithin,Quality of life items asked of oncology patients,https://cran.r-project.org/web/packages/MLCIRTwithin/index.html,"Ware, J., Kosinski, M., Turner-Bowker, D. and Gandek, B. (2002), SF-12v2. How to score version 2 of the SF-12 health survey, QualityMetric Incorporated: Lincoln.",,GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 1-27-2023,BD,,"@book{ware2002sf12v2,
  title={SF-12v2: How to Score Version 2 of the SF-12 Health Survey},
  author={Ware, John and Kosinski, Mark and Turner-Bowker, Diane and Gandek, Barbara},
  year={2002},
  publisher={QualityMetric Incorporated},
  address={Lincoln},
  url={https://cran.r-project.org/web/packages/MLCIRTwithin/index.html}
}"
swmd_mokken,swmd_mokken,Well-being scale from students about teachers,https://cran.r-project.org/web/packages/mokken/index.html,"Zijsling, D., Keuning, J., Keizer-Mittelhaeuser, M.-A., Naaijer, H., & Timmermans, A. (2017). Cohortonderzoek COOL5-18: Technisch rapport meting VO-3 in 2014. Onderwijs/Onderzoek",,GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 2-7-2023,BD,,"@techreport{zijsling2017cohortonderzoek,
  title={Cohortonderzoek COOL5-18: Technisch rapport meting VO-3 in 2014},
  author={Zijsling, D. and Keuning, J. and Keizer-Mittelhaeuser, M.-A. and Naaijer, H. and Timmermans, A.},
  year={2017},
  institution={Onderwijs/Onderzoek},
  type={Technical Report},
  url={https://cran.r-project.org/web/packages/mokken/index.html}
}"
tdri,tdri,Measure of inductive reasoning,https://figshare.com/articles/dataset/TDRI_dataset_csv/3142321,"Golino, H. F., & Gomes, C. M. (2015). Investigando estágios de desenvolvimento do raciocínio indutivo usando a análise fatorial confimatória, o Modelo Logístico Simples de Rasch e o modelo de teste logístico linear (Rasch Estendido). In H. F. Golino, C. M. Gomes, A. Amantes, & G. Coelho, Psicometria Contemporânea: Compreendendo os Modelos Rasch (pp. 283-331). São Paulo: Casa do Psicólogo/Pearson.",,CC BY 4.0,Public,CC BY 4.0,Data modified from original on 3-15-2023. Original license available at: https://creativecommons.org/licenses/by/4.0/,BD,,"@incollection{golino2015investigando,
  author = {Golino, Hudson F. and Gomes, Cristiano M.},
  title = {Investigando est{\\'a}gios de desenvolvimento do racioc{\\'\\i}nio indutivo usando a an{\\'a}lise fatorial confimat{\\'o}ria, o Modelo Log{\\'\\i}stico Simples de Rasch e o modelo de teste log{\\'\\i}stico linear (Rasch Estendido)},
  booktitle = {Psicometria Contempor{\\^a}nea: Compreendendo os Modelos Rasch},
  editor = {Golino, Hudson F. and Gomes, Cristiano M. and Amantes, Amanda and Coelho, Gabriel},
  year = {2015},
  pages = {283--331},
  publisher = {Casa do Psic{\\'o}logo/Pearson},
  address = {S{\\~a}o Paulo},
  url = {https://figshare.com/articles/dataset/TDRI_dataset_csv/3142321}
}"
tenseness_pcmrs,tenseness_pcmrs,Tenseness from the Freiburg Complaint Checklist,https://cran.r-project.org/web/packages/PCMRS/index.html,"ZPID (2013). PsychData of the Leibniz Institute for Psychology Information ZPID. Trier: Center
for Research Data in Psychology.",,GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 2-13-2023,BD,,"@misc{ZPID2013,
  author = {ZPID},
  title = {PsychData of the {Leibniz} {Institute} for {Psychology} {Information} {ZPID}},
  year = {2013},
  address = {Trier},
  publisher = {Center for Research Data in Psychology},
  url = {https://cran.r-project.org/web/packages/PCMRS/index.html}
}"
timss_tam,timss_tam,TIMSS 2011 data from Australian and Taiwanese students,https://cran.r-project.org/web/packages/TAM/index.html,"Robitzsch A, Kiefer T, Wu M (2022). TAM: Test Analysis Modules. R package version 4.1-4, https://CRAN.R-project.org/package=TAM.",,GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 1-27-2023,BD,,"@Manual{TAM2022,
  title = {TAM: Test Analysis Modules},
  author = {Alexander Robitzsch and Thomas Kiefer and Margaret Wu},
  year = {2022},
  note = {R package version 4.1-4},
  url = {https://CRAN.R-project.org/package=TAM}
}"
vocabulary_iq,vocabulary_iq,Data on vocabulary knowledge and personality items,http://openpsychometrics.org/_rawdata/,(2018). Vocabulary IQ Test [dataset and codebook]. http://openpsychometrics.org/_rawdata/VIQT_data.zip,,,Public,CC BY 4.0,,LCM,,"@misc{VIQT2018,
  title = {Vocabulary {IQ} {Test} [dataset and codebook]},
  year = {2018},
  url = {http://openpsychometrics.org/_rawdata/VIQT_data.zip},
  howpublished = {\\url{http://openpsychometrics.org/_rawdata/}}
}"
wordsum,wordsum,Ten item vocabulary test included in General Social Suvey (https://en.wikipedia.org/wiki/Wordsum),https://gss.norc.org/get-the-data/stata,"Malhotra, N., Krosnick, J. A., & Haertel, E. (2007). The psychometric properties of the GSS Wordsum vocabulary test. GSS Methodological Report, 11, 1-63.",,,,,,BD,,"@techreport{malhotra2007psychometric,
  title={The psychometric properties of the GSS Wordsum vocabulary test},
  author={Malhotra, Neil and Krosnick, Jon A and Haertel, Edward},
  year={2007},
  institution={GSS},
  number={11},
  pages={1--63},
  type={Methodological Report},
  url={https://gss.norc.org/get-the-data/stata}
}"
wpi_math_assistments,wpi_math_assistments,"Items from online algebra tutoring, assessing whether students get the item correct on the first attempt",https://pslcdatashop.web.cmu.edu/Files?datasetId=92,"Heffernan, N. (2010). 2004-2005 question level data [data set]. DataShop @ CMU. https://pslcdatashop.web.cmu.edu/Files?datasetId=92",,,Private,,,LCM,,"@misc{heffernan2010,
  author = {Heffernan, N.},
  year = {2010},
  title = {2004-2005 question level data [data set]},
  publisher = {DataShop @ CMU},
  url = {https://pslcdatashop.web.cmu.edu/Files?datasetId=92}
}"
